date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:58:53	74824/74824	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:53%20GMT	https://www.thehealthsite.com/marathi/news/cowin-portel-hospitals-deny-1st-dose-vaccine-to-18-as-cowin-shows-availability-for-2nd-dose-raising-confusion-815442/	C:/heath/heath/www.thehealthsite.com/marathi/news/cowin-portel-hospitals-deny-1st-dose-vaccine-to-18-as-cowin-shows-availability-for-2nd-dose-raising-confusion-815442/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:54	74511/74511	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:53%20GMT	https://www.thehealthsite.com/marathi/news/corona-home-testing-kit-granted-by-icmr-now-you-can-self-test-covid-19-at-home-814778/	C:/heath/heath/www.thehealthsite.com/marathi/news/corona-home-testing-kit-granted-by-icmr-now-you-can-self-test-covid-19-at-home-814778/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:54	70916/70916	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:53%20GMT	https://www.thehealthsite.com/marathi/diseases-conditions/causes-of-white-fungus-in-children-in-marathi-816214/	C:/heath/heath/www.thehealthsite.com/marathi/diseases-conditions/causes-of-white-fungus-in-children-in-marathi-816214/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:55	112257/112257	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:54%20GMT	https://www.thehealthsite.com/marathi/diseases-conditions/page/2/	C:/heath/heath/www.thehealthsite.com/marathi/diseases-conditions/page/2/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:55	104322/104322	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:55%20GMT	https://www.thehealthsite.com/marathi/photo-gallery/tamannaah-bhatias-fitness-secret-beneficial-for-weight-loss-skin-care-and-health-tips-in-marathi-801898/	C:/heath/heath/www.thehealthsite.com/marathi/photo-gallery/tamannaah-bhatias-fitness-secret-beneficial-for-weight-loss-skin-care-and-health-tips-in-marathi-801898/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:56	88146/88146	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:55%20GMT	https://www.thehealthsite.com/marathi/photo-gallery/fitness-tricks-that-could-suppress-your-yawn-n0817-514607/	C:/heath/heath/www.thehealthsite.com/marathi/photo-gallery/fitness-tricks-that-could-suppress-your-yawn-n0817-514607/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:57	86268/86268	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:56%20GMT	https://www.thehealthsite.com/marathi/topics/ayurvedic-weight-loss-tips/	C:/heath/heath/www.thehealthsite.com/marathi/topics/ayurvedic-weight-loss-tips/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:58	88529/88529	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:57%20GMT	https://www.thehealthsite.com/marathi/topics/bad-habits/	C:/heath/heath/www.thehealthsite.com/marathi/topics/bad-habits/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:58	90219/90219	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:57%20GMT	https://www.thehealthsite.com/marathi/photo-gallery/fitness-expert-tips-to-get-rid-of-stretch-marks-during-weight-loss-g0817-514124/	C:/heath/heath/www.thehealthsite.com/marathi/photo-gallery/fitness-expert-tips-to-get-rid-of-stretch-marks-during-weight-loss-g0817-514124/index.html	(from https://www.thehealthsite.com/marathi/)
06:58:59	91124/91124	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:58:58%20GMT	https://www.thehealthsite.com/marathi/photo-gallery/parenting-how-you-can-perform-cpr-on-a-baby-n0817-513067/	C:/heath/heath/www.thehealthsite.com/marathi/photo-gallery/parenting-how-you-can-perform-cpr-on-a-baby-n0817-513067/index.html	(from https://www.thehealthsite.com/marathi/)
